author,date,text
AaronMatthewLA,2020-11-01 15:22:21,"RT @FrankAmari2: @realDonaldTrump With each new day, this President gives new meaning to ""National Embarrassment.""

(Approaching an embarra…"
byron_onate,2020-11-01 15:22:21,"RT @F_Sanchez_Drago: ¿Trump? Prosperidad, libertad, valentía, ley y orden. sí de sencillo. Si Ayn Rand resucitase, le votaría."
Kristen37497774,2020-11-01 15:22:21,@hope4futur @PARISDENNARD @realDonaldTrump Yeah. I just don’t get it.
peridane,2020-11-01 15:22:21,RT @ConnieSchultz: Trump’s legacy. “A group of Stanford University economists who created a statistical model estimate that there have been…
19Delta10,2020-11-01 15:22:21,"RT @PC_is_a_disease: Biden was the guy who opposed busing. He did not want his kids to go to a racial jungle for school.
#BidenIsARacist ht…"
Tdcanusa,2020-11-01 15:22:21,@DonaldJTrumpJr @realDonaldTrump https://t.co/XubaKVUD9a
SleepyCongress1,2020-11-01 15:22:21,"@SteveGuest @JasonMillerinDC @realDonaldTrump Has this fellow paid his child support this month Steve?

battlegroun… https://t.co/HYRdEZRaKM"
issakstessa,2020-11-01 15:22:21,RT @chrislhayes: This is the kind of nightmare case that the Federalist-vetted judiciary is both engineered for and also the kind of case t…
KentWillisMD,2020-11-01 15:22:21,RT @DrSandman11: Hey thanks for putting a target on our backs 🖕
bandyt88,2020-11-01 15:22:21,"RT @laurenboebert: We are all watching from afar as Europe locks down yet again.

That’s Joe Biden’s plan for America.

Just lock down over…"
DenverRick2,2020-11-01 15:22:21,RT @BruceBartlett: https://t.co/Dzgs41fBdD
PaineAnonymous,2020-11-01 15:22:21,"RT @GenFlynn: Pastor Mark Burns speaks to the accomplishments of @RealDonaldTrump

VOTE4:
Laura Loomer — Florida’s 21st District @JulieReic…"
dutchmon,2020-11-01 15:22:21,"RT @RichardGrenell: Support for @realDonaldTrump from the gay community is unprecedented for any Republican in history. 

We will see huge…"
coolg5000,2020-11-01 15:22:21,RT @JackPosobiec: Trump crowd in Butler PA is jaw-dropping https://t.co/EeGNpqWMFd
tntsivo,2020-11-01 15:22:21,RT @TheRightMelissa: @HKrassenstein @realDonaldTrump I will just leave this video right of What Biden said about black men in his own words…
IndivisEurekaSp,2020-11-01 15:22:22,RT @lawhawk: @marcorubio GOPers enabled the most corrupt admin in history. Not every GOPer is corrupt but all are complicit in the crimes.…
AgaveAndTacos,2020-11-01 15:22:22,"RT @gtconway3d: That was Hillary, dum-dum, not Joe. 

On the other hand, it was you who said two Black members of Congress should ""go back""…"
BetteHill53,2020-11-01 15:22:22,RT @meiselasb: Trump calls the attempted vehicular homicide of Biden’s staffers on the tour bus “hot” and wants it to trend. Ok. Let’s make…
ThedaBurns17,2020-11-01 15:22:22,@WhiteHouse @realDonaldTrump Trump IS the wasteful bureaucrat with all his flights for golf!
altenbockum,2020-11-01 15:22:22,"Berthold Kohler über die vergangene Woche: „Wer Friedrich Merz kritisiert, sollte wetterfest angezogen sein. Denn s… https://t.co/Dc7t2bAeol"
GoodKidDadCity,2020-11-01 15:22:22,When violence breaks out after the election Fox News will be right there goading these people on
Annie1111,2020-11-01 15:22:22,RT @JoeBiden: I promise you this: I’ll end Donald Trump’s chaos and end this crisis.
omganamerican,2020-11-01 15:22:22,RT @Lisa_Matassa: This incredible photo was taken last night from someone at the rally last night. God is with @realDonaldTrump!! https://t…
PABLOMX73,2020-11-01 15:22:22,RT @NewsweekEspanol: #Elecciones2020 I @JoeBiden mantiene su ventaja sobre el presidente @realDonaldTrump en varios estados en disputa cruc…
CaribeRico,2020-11-01 15:22:22,@realDonaldTrump The real difference is this...  Biden cares about Americans.  Trump doesn’t give a damn.
DrWinarick,2020-11-01 15:22:22,RT @DrRhondaFine: https://t.co/C11wTqFOz1
Bansoboy1,2020-11-01 15:22:22,@dannyco97069081 @CarmelaStarr7 @realDonaldTrump @POTUS What side of Africa is that? Speak for your ignorant self home boy.
kathleenmaryj,2020-11-01 15:22:22,"RT @RichardGrenell: Support for @realDonaldTrump from the gay community is unprecedented for any Republican in history. 

We will see huge…"
SFRJ1970,2020-11-01 15:22:22,RT @KMCRadio: LISTEN TO ME CAREFULLY: This is NO LONGER an issue of *if* @realDonaldTrump will win... The REAL question based on info I’ve…
toribowling3,2020-11-01 15:22:22,RT @johnlegend: It is stunning that the president would say this nonsense about our medical professionals on the front lines. It is so urge…
minimis_de,2020-11-01 15:22:22,@liedhaft Hat Lana del Rey sich öffentlich gegen Trump ausgesprochen? Die wird mir immer sympsthischer!
amk351,2020-11-01 15:22:22,@mgbusc @BrooklynDecker LOL. Economy was the same improvements as under Obama. Literally the same and well under wh… https://t.co/YmjmnbIjHM
TheWeeoo,2020-11-01 15:22:22,@EricMustangs @AuthorMaryLynnP @JoeBiden I respect your opinion in this democracy even if I don't agree with Trump.… https://t.co/DDq0QOUTI5
JLangWood,2020-11-01 15:22:22,"RT @TeaPainUSA: We can't get rid of this slimy scoundrel fast enough.

https://t.co/FohsCmz3AD"
kathsstewart,2020-11-01 15:22:22,"RT @jonfavs: “Steal it back” = count all the votes 

TV reporters need to start sounding the alarm on this shit now (everyone on this websi…"
lucygoosie11,2020-11-01 15:22:22,RT @RealMichaelGuy: WOW!!!! And I saw a rally in Israel. Have you guys ever seen anything like this? https://t.co/ENyqzy5Wc0
celticmtngirl,2020-11-01 15:22:22,RT @RealWayneRoot: More signs of big trouble Basement Biden is in. Don Trump Jr coming to Vegas today. Nevada is a blue state. Yet polls sa…
Nursetek321,2020-11-01 15:22:22,"RT @AndrewPollackFL: 600+ MS-13 gang members have been arrested since President @realDonaldTrump took office.

American communities are saf…"
CrankyCrone1,2020-11-01 15:22:22,"RT @SenSchumer: It's November 1st, and President Trump still doesn’t have an adequate national testing strategy."
mrjohn12345678,2020-11-01 15:22:22,@AlStewartOBE @thesundaytimes @JamesCarville @realDonaldTrump @JoeBiden https://t.co/7uCBMj2QLK
LesNesman5,2020-11-01 15:22:22,@realDonaldTrump https://t.co/4Xud0JD5o2
grandpadavis,2020-11-01 15:22:22,"RT @DonaldJTrumpJr: Home Depot Co-Founder Bernie Marcus: ""Undecided voters should ask themselves: Do I want to return to the pre-pandemic T…"
florraine123,2020-11-01 15:22:22,@BreitbartNews https://t.co/nIdMC0bfiL
MaskMobthe,2020-11-01 15:22:22,"RT @atensnut: I feel the Trump momentum building like an avalanche.  

VOTE Trump 2020."
LesAnn13,2020-11-01 15:22:22,Wahoo!!!
AlGoodNameRGon,2020-11-01 15:22:22,@realDonaldTrump Keep winning? Like at who dies the most? https://t.co/cyjcL9AKjJ
FCBonanno,2020-11-01 15:22:22,@realDonaldTrump Welp you’ve really done a great job locking down the MAGA clowns on Twitter vote. But what will yo… https://t.co/c3lEr9b4Mg
TrumpCountry45,2020-11-01 15:22:22,RT @JulieReichwein1: LauraLoomerforCongress is the ONLY Congressional candidate who will have the honor of having .@realDonaldTrump &amp; our g…
EmilyOKC,2020-11-01 15:22:22,RT @JackPosobiec: There's more people at the Trump rally in Butler than there are in people in Butler
CarrieSweet2017,2020-11-01 15:22:22,RT @JesseFFerguson: Team Trump announces that military ballots being counted = stealing the election. https://t.co/dg8J8VYJt9
drawnlinensand,2020-11-01 15:22:22,"RT @DonaldJTrumpJr: In 2020 election, Some Latinos want other Latinos to vote for Trump - Los Angeles Times https://t.co/Kq41DDzy9e"
CrypticGoblin,2020-11-01 15:22:22,"RT @tomtomorrow: I mean seriously, if you put this in your novel your editor would tell you it was waaaay too heavy handed"
MrsQuinn775,2020-11-01 15:22:22,"RT @kayleighmcenany: First time in nearly 40 YEARS...

Pittsburgh Post-Gazette endorses a Republican - President @realDonaldTrump‼️

“This…"
Azarrestart,2020-11-01 15:22:22,"✔only your vote for #Trump will save America.

Nothing can stop what is coming

⬇️⬇️⬇️⬇️⬇️⬇️
#MIGA 
#Trump2020
#Q… https://t.co/FuXaH29HTn"
